date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,sp500tr_return,source_url
2021-02,Feb 2021,2021-01-29,7681.009765625,2021-02-26,7892.81005859375,0.027574537649545094,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-03,Mar 2021,2021-02-26,7892.81005859375,2021-03-31,8238.48046875,0.04379560734264487,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-04,Apr 2021,2021-03-31,8238.48046875,2021-04-30,8678.16015625,0.053369027112194045,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-05,May 2021,2021-04-30,8678.16015625,2021-05-28,8738.76953125,0.006984127269920037,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-06,Jun 2021,2021-05-28,8738.76953125,2021-06-30,8942.7802734375,0.023345476895568984,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-07,Jul 2021,2021-06-30,8942.7802734375,2021-07-30,9155.2099609375,0.023754322593721122,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-08,Aug 2021,2021-07-30,9155.2099609375,2021-08-31,9433.580078125,0.03040565081251234,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-09,Sept 2021,2021-08-31,9433.580078125,2021-09-30,8994.830078125,-0.046509384175090984,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-10,Oct 2021,2021-09-30,8994.830078125,2021-10-29,9625.01953125,0.07006129606134426,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-11,Nov 2021,2021-10-29,9625.01953125,2021-11-30,9558.330078125,-0.006928760290665026,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2021-12,Dec 2021,2021-11-30,9558.330078125,2021-12-31,9986.7001953125,0.04481641810716064,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-01,Jan 2022,2021-12-31,9986.7001953125,2022-01-31,9469.919921875,-0.05174684964309462,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-02,Feb 2022,2022-01-31,9469.919921875,2022-02-28,9186.3701171875,-0.029942154424401735,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-03,Mar 2022,2022-02-28,9186.3701171875,2022-03-31,9527.4599609375,0.037129991432832465,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-04,Apr 2022,2022-03-31,9527.4599609375,2022-04-29,8696.650390625,-0.08720158087452601,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2022-05,May 2022,2022-04-29,8696.650390625,2022-05-31,8712.599609375,0.001833949628145648,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
